Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
_23:303884	  217.0	   66.5	    3.3	  100.0	  18.64	  19.21	  23.78	  -0.85	   0.00	--------	-1	0.00	*
_4:708523	  284.0	  106.4	    2.7	   94.8	  18.63	  19.19	  54.76	  -0.81	   0.19	--------	-1	0.00	*
_13:829029	  232.3	   69.7	    3.3	  121.2	  18.60	  21.20	  19.16	  -1.06	   0.00	--------	-1	0.00	*
_3:595428	  290.0	  110.9	    2.6	   93.4	  18.56	  19.12	  58.91	  -0.84	   0.00	--------	-1	0.00	*
_7:25003	  269.0	   97.6	    2.8	  101.9	  18.56	  19.12	  42.42	  -0.67	   0.31	--------	-1	0.00	*
_3:80686	  226.7	   72.7	    3.1	   93.4	  18.56	  19.12	  31.08	  -0.96	   0.00	--------	-1	0.00	*
_1:1651145	  277.0	  102.0	    2.7	   92.5	  18.54	  19.10	  53.45	  -0.65	   0.00	--------	-1	0.00	*
_1:700762	  254.0	   88.7	    2.9	   92.5	  18.54	  19.10	  42.90	  -0.94	   0.00	--------	-1	0.00	*
_1:522894	  249.2	   72.3	    3.4	  133.7	  18.49	  23.40	  19.05	  -0.82	   0.00	--------	-1	0.00	*
_3:587787	  262.0	   93.1	    2.8	   93.4	  18.49	  19.05	  45.72	  -0.73	   0.17	--------	-1	0.00	*
_28:309285	  209.0	   62.1	    3.4	   91.6	  18.48	  19.04	  25.42	  -0.91	   0.00	--------	-1	0.00	*
_7:899900	  283.0	  106.4	    2.7	   82.7	  18.47	  19.03	  65.85	  -1.10	   0.00	--------	-1	0.00	*
_4:1270974	  216.0	   66.5	    3.2	   98.8	  18.47	  19.02	  24.06	  -1.15	   0.08	--------	-1	0.00	*
_7:100693	  183.0	   48.8	    3.8	   82.7	  18.40	  18.95	  21.10	  -0.90	   0.00	--------	-1	0.00	*
_15:548405	  212.0	   62.1	    3.4	  106.9	  18.40	  19.60	  18.95	  -1.48	   0.00	--------	-1	0.00	*
_19:268524	  238.0	   79.8	    3.0	  116.7	  18.39	  18.94	  22.57	  -0.78	   0.00	--------	-1	0.00	*
_12:416467	  192.0	   53.2	    3.6	   90.9	  18.35	  18.90	  19.99	  -0.73	   0.00	--------	-1	0.00	*
_2:293184	  282.0	  106.4	    2.6	  103.4	  18.32	  18.86	  46.95	  -0.86	   0.68	--------	-1	0.00	*
_12:542904	  228.4	   74.4	    3.1	   90.9	  18.31	  18.86	  33.50	  -1.16	   0.00	--------	-1	0.00	*
_1:1451008	  208.0	   62.1	    3.3	  102.0	  18.30	  18.85	  19.88	  -0.68	   0.00	--------	-1	0.00	*
_1:1714761	  222.0	   71.0	    3.1	  105.9	  18.30	  18.84	  22.52	  -0.96	   0.00	--------	-1	0.00	*
_18:701860	  215.0	   66.5	    3.2	   95.6	  18.29	  18.84	  25.36	  -0.76	   0.00	--------	-1	0.00	*
_8:636864	  296.0	  115.3	    2.6	   91.7	  18.27	  18.81	  63.52	  -0.93	   0.00	--------	-1	0.00	*
_8:98792	  224.0	   71.0	    3.2	  115.7	  18.26	  19.20	  18.80	  -1.33	   0.00	--------	-1	0.00	*
_1:1937733	  267.0	   97.6	    2.7	  121.1	  18.25	  18.79	  29.92	  -0.99	   0.65	--------	-1	0.00	*
_18:510914	  275.0	  102.0	    2.7	   95.6	  18.23	  18.77	  49.86	  -0.84	   0.04	--------	-1	0.00	*
_13:523391	  302.0	  119.7	    2.5	  100.0	  18.23	  18.77	  58.91	  -0.92	   0.00	--------	-1	0.00	*
_17:366103	  237.0	   79.8	    3.0	   97.8	  18.23	  18.77	  32.24	  -0.86	   0.00	--------	-1	0.00	*
_6:837197	  245.0	   84.3	    2.9	  101.2	  18.16	  18.69	  33.24	  -0.76	   0.34	--------	-1	0.00	*
_10:658532	  214.0	   66.5	    3.2	   95.4	  18.12	  18.65	  25.16	  -0.63	   0.00	--------	-1	0.00	*
_10:923698	  287.0	  110.9	    2.6	  137.9	  18.11	  18.64	  28.23	  -0.96	   0.00	--------	-1	0.00	*
_23:475591	  287.0	  110.9	    2.6	  131.0	  18.11	  18.64	  31.62	  -0.61	   0.00	--------	-1	0.00	*
_17:281157	  206.0	   57.7	    3.6	  103.5	  18.08	  20.19	  18.61	  -0.75	   0.00	--------	-1	0.00	*
_26:234379	  216.0	   62.1	    3.5	  110.6	  18.06	  20.36	  18.59	  -0.61	   0.00	--------	-1	0.00	*
_8:529877	  236.0	   79.8	    3.0	   97.6	  18.06	  18.59	  31.96	  -0.86	   0.00	--------	-1	0.00	*
_16:406173	  193.0	   44.4	    4.4	   94.7	  18.00	  22.59	  18.53	  -1.03	   0.00	--------	-1	0.00	*
_30:216298	  264.0	   88.7	    3.0	  145.3	  18.00	  20.83	  18.52	  -0.79	   0.00	--------	-1	0.00	*
_1:2048750	  192.0	   53.2	    3.6	   94.0	  17.98	  18.90	  18.51	  -0.79	   0.00	--------	-1	0.00	*
_6:880318	  220.0	   71.0	    3.1	  101.2	  17.95	  18.48	  24.18	  -0.78	   0.00	--------	-1	0.00	*
_4:872961	  246.1	   86.1	    2.9	   94.8	  17.94	  18.47	  38.20	  -0.92	   0.00	--------	-1	0.00	*
_1:1413850	  265.0	   97.6	    2.7	  114.7	  17.93	  18.46	  32.70	  -0.73	   0.14	--------	-1	0.00	*
_2:496350	  273.0	  102.0	    2.7	   91.7	  17.92	  18.44	  52.24	  -0.73	   0.18	--------	-1	0.00	*
_21:267282	  380.0	  173.0	    2.2	  132.6	  17.90	  18.42	  68.02	  -0.89	   0.00	--------	-1	0.00	*
_2:1336730	  258.0	   93.1	    2.8	  124.5	  17.85	  18.38	  25.28	  -0.65	   0.00	--------	-1	0.00	*
_21:430767	  258.0	   93.1	    2.8	  132.6	  17.85	  18.38	  21.74	  -0.76	   0.71	--------	-1	0.00	*
_16:554002	  228.0	   75.4	    3.0	  108.8	  17.85	  18.37	  23.06	  -0.79	   0.24	--------	-1	0.00	*
_24:183967	  228.0	   75.4	    3.0	   86.9	  17.85	  18.37	  35.79	  -0.91	   0.36	--------	-1	0.00	*
_4:503371	  228.0	   75.4	    3.0	  109.5	  17.86	  18.37	  22.76	  -0.77	   0.29	--------	-1	0.00	*
_2:98074	  293.0	  115.3	    2.5	   91.7	  17.82	  18.34	  62.05	  -0.77	   0.65	--------	-1	0.00	*
_9:649141	  205.0	   62.1	    3.3	   84.7	  17.77	  18.29	  28.00	  -0.69	   0.14	--------	-1	0.00	*
_1:920514	  228.7	   76.7	    3.0	   92.5	  17.73	  18.25	  32.46	  -0.61	   0.00	--------	-1	0.00	*
_19:170621	  278.0	  106.4	    2.6	  140.0	  17.70	  18.22	  24.51	  -0.67	   0.32	--------	-1	0.00	*
_3:1167468	  189.0	   27.7	    6.8	   93.4	  17.65	  30.35	  18.17	  -1.14	   0.00	--------	-1	0.00	*
_3:1333772	  298.0	  119.7	    2.5	   93.4	  17.63	  18.14	  62.90	  -0.99	   0.00	--------	-1	0.00	*
_6:137378	  263.0	   97.6	    2.7	  101.2	  17.61	  18.13	  40.45	  -0.69	   0.00	--------	-1	0.00	*
_1:831071	  271.0	  102.0	    2.7	   92.5	  17.61	  18.12	  50.62	  -0.56	   0.00	--------	-1	0.00	*
_19:310877	  319.0	  133.1	    2.4	  117.3	  17.54	  18.05	  52.67	  -0.96	   0.00	--------	-1	0.00	*
_16:326095	  226.0	   75.4	    3.0	   94.7	  17.51	  18.02	  29.92	  -0.97	   0.44	--------	-1	0.00	*
_19:281616	  226.0	   75.4	    3.0	  116.7	  17.51	  18.02	  18.98	  -0.63	   0.00	--------	-1	0.00	*
_13:622120	  282.0	  102.0	    2.8	  160.1	  17.51	  19.93	  18.01	  -0.83	   0.54	--------	-1	0.00	*
_19:267144	  241.0	   84.3	    2.9	  116.7	  17.50	  18.01	  23.51	  -0.69	   0.37	--------	-1	0.00	*
_23:114676	  253.8	   65.9	    3.9	  139.5	  17.47	  26.73	  17.98	  -0.89	   0.00	--------	-1	0.00	*
_13:847051	  194.0	   53.2	    3.6	   96.7	  17.46	  19.29	  17.97	  -0.72	   0.00	--------	-1	0.00	*
_11:495318	  264.0	   88.7	    3.0	  146.9	  17.45	  20.83	  17.96	  -0.64	   0.41	--------	-1	0.00	*
_3:1053947	  210.0	   66.5	    3.2	   93.4	  17.42	  17.92	  24.79	  -1.05	   0.00	--------	-1	0.00	*
_11:177040	  247.0	   88.7	    2.8	  104.7	  17.40	  17.90	  31.85	  -0.96	   0.00	--------	-1	0.00	*
_16:467046	  318.0	  133.1	    2.4	   94.7	  17.40	  17.90	  71.96	  -0.93	   0.00	--------	-1	0.00	*
_13:81921	  232.0	   79.8	    2.9	  103.1	  17.39	  17.89	  27.34	  -0.66	   0.00	--------	-1	0.00	*
_6:6704	  232.0	   79.8	    2.9	  101.2	  17.39	  17.89	  28.38	  -1.26	   0.00	--------	-1	0.00	*
_15:513027	  201.0	   57.7	    3.5	  101.7	  17.39	  19.22	  17.89	  -0.82	   0.00	--------	-1	0.00	*
_2:1350569	  255.0	   93.1	    2.7	   93.4	  17.38	  17.88	  42.62	  -0.75	   0.36	--------	-1	0.00	*
_1:1840301	  197.8	   55.0	    3.6	   99.7	  17.38	  19.35	  17.88	  -1.00	   0.00	--------	-1	0.00	*
_15:633702	  198.0	   48.8	    4.1	   99.7	  17.37	  21.99	  17.87	  -0.75	   0.41	--------	-1	0.00	*
_10:278055	  205.9	   64.5	    3.2	   95.4	  17.33	  17.83	  22.41	  -1.10	   0.00	--------	-1	0.00	*
_7:609832	  173.0	   39.9	    4.3	   82.7	  17.26	  20.48	  17.76	  -0.73	   0.00	--------	-1	0.00	*
_8:502386	  317.0	  133.1	    2.4	  106.3	  17.26	  17.75	  60.61	  -0.65	   0.54	--------	-1	0.00	*
_4:268394	  215.0	   62.1	    3.5	  111.9	  17.25	  20.17	  17.75	  -0.81	   0.00	--------	-1	0.00	*
_18:84679	  209.0	   66.5	    3.1	  101.6	  17.25	  17.74	  20.37	  -0.86	   0.00	--------	-1	0.00	*
_13:630092	  202.0	   62.1	    3.3	   96.7	  17.24	  17.73	  20.47	  -0.90	   0.00	--------	-1	0.00	*
_4:621700	  240.7	   85.9	    2.8	   99.3	  17.23	  17.72	  32.88	  -0.84	   0.00	--------	-1	0.00	*
_28:210611	  230.0	   71.0	    3.2	  122.8	  17.23	  20.31	  17.72	  -0.90	   0.00	--------	-1	0.00	*
_14:33537	  231.0	   79.8	    2.9	   91.4	  17.23	  17.72	  33.97	  -0.64	   0.51	--------	-1	0.00	*
_2:1323589	  186.0	   44.4	    4.2	   91.7	  17.23	  21.13	  17.72	  -1.36	   0.00	--------	-1	0.00	*
_2:666754	  289.0	  115.3	    2.5	   91.7	  17.23	  17.71	  60.04	  -0.99	   0.00	--------	-1	0.00	*
_5:547655	  254.0	   93.1	    2.7	   93.8	  17.22	  17.71	  41.94	  -0.82	   0.47	--------	-1	0.00	*
_5:1035927	  254.0	   93.1	    2.7	   93.8	  17.22	  17.71	  41.94	  -0.95	   0.00	--------	-1	0.00	*
_9:414848	  254.0	   93.1	    2.7	   98.9	  17.23	  17.71	  38.29	  -1.04	   0.12	--------	-1	0.00	*
_7:669912	  224.0	   75.4	    3.0	   91.7	  17.19	  17.67	  30.98	  -0.91	   0.00	--------	-1	0.00	*
_9:215196	  260.0	   97.6	    2.7	  124.5	  17.15	  17.64	  25.93	  -0.92	   0.11	--------	-1	0.00	*
_21:531717	  349.0	  155.2	    2.2	  144.9	  17.11	  17.59	  46.25	  -0.86	   0.24	--------	-1	0.00	*
_10:158368	  215.0	   71.0	    3.0	   95.4	  17.10	  17.58	  25.51	  -0.70	   0.00	--------	-1	0.00	*
_23:272522	  274.0	  106.4	    2.6	  100.0	  17.10	  17.58	  46.01	  -0.73	   0.59	--------	-1	0.00	*
_6:38340	  274.0	  106.4	    2.6	  121.5	  17.10	  17.58	  32.16	  -0.81	   0.00	--------	-1	0.00	*
_11:237357	  245.0	   88.7	    2.8	  123.0	  17.09	  17.57	  21.91	  -0.94	   0.00	--------	-1	0.00	*
_10:595384	  288.0	  115.3	    2.5	  119.7	  17.08	  17.56	  38.36	  -0.76	   0.00	--------	-1	0.00	*
_22:450361	  208.0	   66.5	    3.1	   94.5	  17.08	  17.56	  23.56	  -0.58	   0.00	--------	-1	0.00	*
_2:241084	  201.0	   62.1	    3.2	   91.7	  17.07	  17.55	  22.60	  -0.72	   0.00	--------	-1	0.00	*
_5:839218	  252.7	   93.1	    2.7	   93.8	  17.07	  17.55	  41.51	  -0.61	   0.00	--------	-1	0.00	*
_6:78999	  199.0	   57.7	    3.5	  101.2	  17.05	  18.84	  17.53	  -1.08	   0.25	--------	-1	0.00	*
_6:158733	  199.0	   44.4	    4.5	  101.2	  17.05	  23.87	  17.53	  -0.63	   0.00	--------	-1	0.00	*
_1:191369	  294.0	  119.7	    2.5	  110.3	  17.05	  17.52	  47.06	  -0.97	   0.00	--------	-1	0.00	*
_16:154512	  238.0	   84.3	    2.8	  119.6	  17.02	  17.50	  21.27	  -0.86	   0.14	--------	-1	0.00	*
_8:237246	  238.0	   84.3	    2.8	  118.1	  17.02	  17.50	  21.95	  -1.12	   0.00	--------	-1	0.00	*
_27:92323	  259.0	   97.6	    2.7	   93.9	  17.00	  17.47	  44.05	  -0.65	   0.32	--------	-1	0.00	*
_7:449256	  259.0	   97.6	    2.7	  113.3	  17.00	  17.47	  31.33	  -0.77	   0.18	--------	-1	0.00	*
_3:213862	  315.0	  133.1	    2.4	   93.4	  16.98	  17.45	  71.68	  -0.70	   0.41	--------	-1	0.00	*
_1:2086245	  214.0	   71.0	    3.0	   92.5	  16.93	  17.40	  26.76	  -0.65	   0.00	--------	-1	0.00	*
_5:759104	  252.0	   93.1	    2.7	   99.4	  16.91	  17.38	  37.11	  -0.69	   0.00	--------	-1	0.00	*
_8:809345	  207.0	   66.5	    3.1	   91.7	  16.91	  17.38	  24.66	  -0.92	   0.00	--------	-1	0.00	*
_9:668690	  192.2	   58.1	    3.3	   84.7	  16.90	  17.37	  23.53	  -1.15	   0.00	--------	-1	0.00	*
_1:1367060	  254.5	   95.2	    2.7	  134.9	  16.88	  17.34	  19.97	  -0.82	   0.00	--------	-1	0.00	*
_1:2030951	  210.0	   53.2	    3.9	  109.5	  16.85	  22.47	  17.31	  -0.93	   0.00	--------	-1	0.00	*
_3:581869	  258.0	   97.6	    2.6	   93.4	  16.85	  17.31	  43.94	  -0.68	   0.00	--------	-1	0.00	*
_28:151697	  167.0	   44.4	    3.8	   79.2	  16.80	  17.26	  17.48	  -1.15	   0.00	--------	-1	0.00	*
_1:30644	  222.0	   48.8	    4.6	  118.2	  16.78	  27.05	  17.25	  -0.79	   0.57	--------	-1	0.00	*
_7:482533	  242.4	   88.9	    2.7	  103.9	  16.77	  17.23	  30.84	  -0.89	   0.00	--------	-1	0.00	*
_23:124553	  213.0	   71.0	    3.0	  102.4	  16.76	  17.22	  21.28	  -0.83	   0.00	--------	-1	0.00	*
_30:225877	  278.0	  110.9	    2.5	  145.3	  16.76	  17.22	  22.33	  -0.84	   0.00	--------	-1	0.00	*
_1:1669009	  228.0	   79.8	    2.9	   92.5	  16.74	  17.20	  32.07	  -0.80	   0.00	--------	-1	0.00	*
_24:145018	  280.4	  112.1	    2.5	  111.8	  16.74	  17.20	  40.62	  -0.49	   0.00	--------	-1	0.00	*
_17:159335	  206.0	   66.5	    3.1	   93.5	  16.74	  17.20	  23.37	  -0.92	   0.00	--------	-1	0.00	*
_19:129262	  261.8	  100.2	    2.6	  116.7	  16.72	  17.18	  30.53	  -1.06	   0.00	--------	-1	0.00	*
_15:9849	  257.0	   97.6	    2.6	   97.5	  16.69	  17.15	  40.51	  -0.60	   0.41	--------	-1	0.00	*
_1:21897	  213.0	   57.7	    3.7	  112.1	  16.67	  21.56	  17.12	  -1.02	   0.47	--------	-1	0.00	*
_4:874734	  338.0	  150.8	    2.2	   94.8	  16.63	  17.09	  82.62	  -0.65	   0.29	--------	-1	0.00	*
_1:2261331	  242.0	   88.7	    2.7	   92.5	  16.61	  17.07	  37.75	  -0.72	   0.00	--------	-1	0.00	*
_10:352464	  242.0	   88.7	    2.7	   95.4	  16.61	  17.07	  35.78	  -0.93	   0.00	--------	-1	0.00	*
_17:290639	  250.0	   93.1	    2.7	  124.5	  16.60	  17.05	  22.79	  -0.67	   0.34	--------	-1	0.00	*
_9:240129	  250.0	   93.1	    2.7	  103.4	  16.60	  17.05	  33.81	  -1.13	   0.00	--------	-1	0.00	*
_19:445047	  236.4	   85.9	    2.8	  121.3	  16.60	  17.05	  20.29	  -1.20	   0.00	--------	-1	0.00	*
_12:718969	  212.0	   71.0	    3.0	  102.9	  16.60	  17.05	  20.73	  -1.06	   0.00	--------	-1	0.00	*
_26:436378	  212.0	   71.0	    3.0	  108.8	  16.60	  17.05	  18.16	  -0.76	   0.00	--------	-1	0.00	*
_17:555770	  205.0	   66.5	    3.1	   93.5	  16.57	  17.02	  23.03	  -0.95	   0.00	--------	-1	0.00	*
_1:2345868	  312.0	  133.1	    2.3	   96.0	  16.56	  17.01	  67.51	  -0.91	   0.00	--------	-1	0.00	*
_1:1254660	  198.0	   62.1	    3.2	   92.5	  16.55	  17.00	  21.18	  -0.55	   0.00	--------	-1	0.00	*
_5:1038501	  198.0	   62.1	    3.2	   93.8	  16.55	  17.00	  20.55	  -0.82	   0.00	--------	-1	0.00	*
_27:135140	  234.2	   84.7	    2.8	   93.9	  16.54	  16.99	  33.95	  -1.21	   0.00	--------	-1	0.00	*
_3:589421	  256.0	   97.6	    2.6	   93.4	  16.54	  16.99	  43.06	  -0.98	   0.00	--------	-1	0.00	*
_7:868257	  270.0	  106.4	    2.5	   98.1	  16.50	  16.95	  45.67	  -0.80	   0.00	--------	-1	0.00	*
_21:280624	  290.0	  119.7	    2.4	  132.6	  16.47	  16.91	  31.85	  -0.70	   0.49	--------	-1	0.00	*
_9:739804	  290.0	  119.7	    2.4	   84.7	  16.47	  16.91	  67.47	  -0.75	   0.00	--------	-1	0.00	*
_29:274596	  241.0	   88.7	    2.7	  103.1	  16.46	  16.90	  30.55	  -0.95	   0.08	--------	-1	0.00	*
_10:319831	  203.1	   66.9	    3.0	   95.4	  16.40	  16.84	  21.74	  -0.79	   0.00	--------	-1	0.00	*
_7:880205	  234.0	   84.3	    2.8	   89.0	  16.38	  16.82	  36.85	  -0.79	   0.00	--------	-1	0.00	*
_2:1014037	  182.7	   51.2	    3.6	   91.7	  16.36	  17.86	  16.80	  -1.34	   0.00	--------	-1	0.00	*
_3:868756	  234.0	   48.8	    4.8	  128.2	  16.34	  29.65	  16.78	  -0.78	   0.00	--------	-1	0.00	*
_6:789119	  275.0	  110.9	    2.5	  101.2	  16.31	  16.75	  45.55	  -1.03	   0.00	--------	-1	0.00	*
_23:406711	  258.1	   86.1	    3.0	  146.8	  16.31	  20.55	  16.74	  -0.81	   0.00	--------	-1	0.00	*
_19:44615	  218.0	   48.8	    4.5	  116.7	  16.30	  26.19	  16.74	  -0.62	   0.47	--------	-1	0.00	*
_19:344444	  218.0	   53.2	    4.1	  116.7	  16.30	  24.11	  16.74	  -0.65	   0.38	--------	-1	0.00	*
_9:503698	  200.1	   60.5	    3.3	  104.5	  16.30	  18.20	  16.73	  -0.93	   0.00	--------	-1	0.00	*
_10:370591	  188.0	   53.2	    3.5	   95.4	  16.29	  18.12	  16.72	  -0.94	   0.31	--------	-1	0.00	*
_10:420215	  188.0	   57.7	    3.3	   95.4	  16.29	  16.77	  16.72	  -0.58	   0.00	--------	-1	0.00	*
_24:201698	  210.0	   71.0	    3.0	   84.7	  16.26	  16.69	  29.94	  -0.75	   0.27	--------	-1	0.00	*
_4:873471	  250.9	   95.7	    2.6	   94.8	  16.26	  16.69	  39.88	  -1.06	   0.00	--------	-1	0.00	*
_8:433551	  268.0	  106.4	    2.5	   91.7	  16.20	  16.63	  49.84	  -0.81	   0.00	--------	-1	0.00	*
_11:938643	  218.0	   75.4	    2.9	   92.3	  16.20	  16.63	  28.32	  -0.65	   0.00	--------	-1	0.00	*
_12:842268	  258.0	   71.0	    3.6	  146.5	  16.16	  25.65	  16.58	  -0.69	   0.00	--------	-1	0.00	*
_17:119261	  247.0	   93.1	    2.7	   93.5	  16.13	  16.56	  39.14	  -0.74	   0.00	--------	-1	0.00	*
_2:83844	  233.7	   85.8	    2.7	   91.7	  16.12	  16.55	  35.00	  -1.27	   0.00	--------	-1	0.00	*
_18:698247	  237.0	   87.8	    2.7	   95.6	  16.08	  16.51	  33.59	  -0.93	   0.00	--------	-1	0.00	*
_2:1346768	  253.0	   97.6	    2.6	  105.6	  16.08	  16.50	  33.58	  -1.08	   0.00	--------	-1	0.00	*
_12:115991	  232.0	   84.3	    2.8	   90.9	  16.06	  16.49	  34.72	  -0.57	   0.00	--------	-1	0.00	*
_20:474789	  281.0	  115.3	    2.4	   97.7	  16.06	  16.48	  50.97	  -0.67	   0.00	--------	-1	0.00	*
_7:913805	  202.0	   66.5	    3.0	   84.2	  16.06	  16.48	  27.16	  -1.01	   0.00	--------	-1	0.00	*
_24:341271	  197.0	   48.8	    4.0	  102.3	  16.05	  21.79	  16.47	  -0.71	   0.00	--------	-1	0.00	*
_20:297494	  217.0	   75.4	    2.9	  102.0	  16.03	  16.45	  22.77	  -0.93	   0.00	--------	-1	0.00	*
_3:544744	  217.0	   75.4	    2.9	   93.4	  16.03	  16.45	  27.31	  -0.85	   0.00	--------	-1	0.00	*
_28:300771	  205.0	   57.7	    3.6	  108.2	  15.99	  20.00	  16.41	  -0.70	   0.00	--------	-1	0.00	*
_7:739404	  238.0	   88.7	    2.7	   82.7	  15.99	  16.41	  43.41	  -0.76	   0.63	--------	-1	0.00	*
_19:574793	  246.0	   93.1	    2.6	  127.2	  15.98	  16.40	  20.47	  -0.73	   0.00	--------	-1	0.00	*
_15:424713	  223.0	   79.8	    2.8	   99.1	  15.93	  16.35	  26.30	  -0.92	   0.00	--------	-1	0.00	*
_2:1146118	  251.1	   97.6	    2.6	   99.2	  15.92	  16.34	  37.27	  -0.75	   0.00	--------	-1	0.00	*
_2:555400	  280.0	  115.3	    2.4	   99.0	  15.91	  16.33	  49.44	  -0.59	   0.61	--------	-1	0.00	*
_2:1250874	  231.0	   84.3	    2.7	   91.7	  15.90	  16.32	  33.78	  -1.05	   0.42	--------	-1	0.00	*
_25:480724	  286.0	  119.7	    2.4	  104.4	  15.89	  16.31	  47.89	  -0.70	   0.00	--------	-1	0.00	*
_10:43468	  201.0	   66.5	    3.0	   95.4	  15.89	  16.30	  20.76	  -0.75	   0.00	--------	-1	0.00	*
_3:951669	  201.0	   66.5	    3.0	   93.4	  15.89	  16.30	  21.70	  -0.62	   0.00	--------	-1	0.00	*
_10:467928	  216.0	   75.4	    2.9	   95.4	  15.87	  16.28	  25.87	  -0.69	   0.00	--------	-1	0.00	*
_12:720648	  216.0	   75.4	    2.9	  112.8	  15.87	  16.28	  17.68	  -0.74	   0.00	--------	-1	0.00	*
_2:1214988	  210.9	   72.5	    2.9	   91.7	  15.87	  16.28	  26.12	  -0.85	   0.00	--------	-1	0.00	*
_24:355721	  194.0	   62.1	    3.1	   84.7	  15.86	  16.27	  23.88	  -0.83	   0.00	--------	-1	0.00	*
_16:543969	  251.0	   97.6	    2.6	   94.7	  15.77	  16.18	  39.97	  -1.18	   0.00	--------	-1	0.00	*
_7:786943	  222.0	   79.8	    2.8	   82.7	  15.77	  16.18	  36.29	  -0.87	   0.00	--------	-1	0.00	*
_8:28389	  222.0	   79.8	    2.8	   99.2	  15.77	  16.18	  25.89	  -1.03	   0.00	--------	-1	0.00	*
_5:625576	  207.0	   71.0	    2.9	   93.8	  15.76	  16.17	  23.57	  -0.71	   0.00	--------	-1	0.00	*
_14:489783	  265.0	  106.4	    2.5	   90.4	  15.76	  16.16	  49.53	  -0.61	   0.38	--------	-1	0.00	*
_10:122855	  230.0	   84.3	    2.7	   95.4	  15.75	  16.15	  31.05	  -0.67	   0.36	--------	-1	0.00	*
_2:1341705	  230.0	   84.3	    2.7	   95.9	  15.75	  16.15	  30.74	  -0.74	   0.00	--------	-1	0.00	*
_27:135244	  199.8	   66.1	    3.0	   93.9	  15.72	  16.13	  21.16	  -0.89	   0.00	--------	-1	0.00	*
_28:46701	  193.0	   62.1	    3.1	   79.2	  15.69	  16.09	  26.77	  -0.88	   0.44	--------	-1	0.00	*
_22:481380	  268.6	  109.0	    2.5	   94.5	  15.66	  16.06	  48.08	  -0.95	   0.00	--------	-1	0.00	*
_19:444877	  225.2	   82.6	    2.7	  119.1	  15.62	  16.03	  18.02	  -0.95	   0.00	--------	-1	0.00	*
_14:185490	  250.0	   97.6	    2.6	   90.4	  15.62	  16.02	  42.70	  -0.74	   0.17	--------	-1	0.00	*
_21:512712	  284.0	  119.7	    2.4	  156.0	  15.61	  16.01	  19.93	  -0.78	   0.00	--------	-1	0.00	*
_22:458893	  206.0	   71.0	    2.9	   99.7	  15.59	  16.00	  20.31	  -0.77	   0.00	--------	-1	0.00	*
_15:195166	  243.0	   93.1	    2.6	  103.3	  15.52	  15.92	  31.21	  -0.98	   0.00	--------	-1	0.00	*
_16:373113	  243.0	   93.1	    2.6	   94.7	  15.52	  15.92	  36.63	  -0.86	   0.00	--------	-1	0.00	*
_2:370858	  235.0	   88.7	    2.6	   97.0	  15.51	  15.92	  31.97	  -1.02	   0.26	--------	-1	0.00	*
_10:504654	  277.0	  115.3	    2.4	  100.5	  15.48	  15.88	  46.95	  -0.94	   0.00	--------	-1	0.00	*
_23:262359	  205.0	   71.0	    2.9	  100.0	  15.42	  15.82	  19.87	  -1.01	   0.43	--------	-1	0.00	*
_25:333344	  205.0	   71.0	    2.9	  103.4	  15.42	  15.82	  18.36	  -1.20	   0.00	--------	-1	0.00	*
_21:183365	  290.0	  124.2	    2.3	  135.8	  15.38	  15.78	  30.20	  -0.57	   0.00	--------	-1	0.00	*
_9:550876	  198.0	   66.5	    3.0	   84.7	  15.38	  15.77	  25.35	  -0.99	   0.00	--------	-1	0.00	*
_5:911180	  242.0	   93.1	    2.6	   93.8	  15.36	  15.76	  36.86	  -1.04	   0.00	--------	-1	0.00	*
_1:870732	  191.0	   62.1	    3.1	   92.5	  15.34	  15.74	  18.91	  -0.62	   0.00	--------	-1	0.00	*
_25:157963	  256.0	  102.0	    2.5	  103.4	  15.34	  15.74	  36.12	  -0.71	   0.21	--------	-1	0.00	*
_26:248832	  196.7	   46.0	    4.3	  103.2	  15.33	  23.02	  15.73	  -1.31	   0.00	--------	-1	0.00	*
_5:865043	  212.0	   71.0	    3.0	  114.1	  15.32	  17.05	  15.72	  -1.00	   0.53	--------	-1	0.00	*
_5:538209	  282.0	  119.7	    2.4	  157.4	  15.32	  15.71	  18.93	  -0.78	   0.00	--------	-1	0.00	*
_20:8453	  189.0	   57.7	    3.3	   97.7	  15.31	  16.96	  15.70	  -0.85	   0.06	--------	-1	0.00	*
_3:980954	  227.0	   84.3	    2.7	  108.4	  15.27	  15.66	  22.91	  -0.93	   0.00	--------	-1	0.00	*
_11:693287	  205.0	   71.0	    2.9	  109.4	  15.27	  15.82	  15.66	  -0.71	   0.39	--------	-1	0.00	*
_22:264263	  204.0	   71.0	    2.9	   95.9	  15.26	  15.65	  21.49	  -0.76	   0.54	--------	-1	0.00	*
_30:118121	  280.0	   88.7	    3.2	  165.2	  15.25	  23.70	  15.64	  -0.82	   0.00	--------	-1	0.00	*
_13:439512	  241.0	   93.1	    2.6	   96.7	  15.21	  15.60	  34.53	  -0.99	   0.00	--------	-1	0.00	*
_7:186639	  189.0	   44.4	    4.3	   98.2	  15.21	  21.75	  15.60	  -1.21	   0.00	--------	-1	0.00	*
